"Anyo";"Mes";"Familia EL";"Familia MP";"Familia P"
2019;"enero";90900;3500;10800
2019;"febrero";94500;3000;10200
2019;"marzo";88300;3000;12200
2019;"abril";95900;4100;11300
2019;"mayo";114100;6100;15800
2019;"junio";117800;3600;13800
2019;"julio";93700;4000;12200
2019;"agosto";108800;3200;10500
2019;"septiembre";87600;4600;15600
2019;"octubre";43100;2200;12400
2019;"noviembre";89200;4400;17600
2019;"diciembre";52900;2100;6500
2020;"enero";90000;5600;11500
2020;"febrero";74800;4300;14300
2020;"marzo";101500;4800;8700
2020;"abril";117000;3400;9600
2020;"mayo";124600;3100;8800
2020;"junio";109400;3100;8600
2020;"julio";98000;2800;11100
2020;"agosto";95100;3100;6100
2020;"septiembre";79200;2300;6800
2020;"octubre";113700;3700;8600
2020;"noviembre";87300;4800;10000
2020;"diciembre";34900;1700;3300
2021;"enero";83300;3900;12600
2021;"febrero";88800;4800;10900
2021;"marzo";99200;3600;11600
2021;"abril";62900;2800;5900
2021;"mayo";56700;1900;6900
2021;"junio";104900;2300;5600
2021;"julio";98400;5100;9100
2021;"agosto";105900;2900;5600
2021;"septiembre";98500;5000;11800
2021;"octubre";94200;6900;10800
2021;"noviembre";93100;5600;11400
2021;"diciembre";36800;5500;8100
