Año,Mes,Importe Neto ,Familia
2018,enero,2991016.462049201,Familia EL
2018,enero,99124.80468138235,Familia MP
2018,enero,10613.052576632945,Familia P1
2018,enero,20812.481230589645,Familia P2
2018,enero,22353.738653390486,Familia P3
2018,enero,138018.22271302072,Familia P4
2018,enero,72249.87240438598,Familia P5
2018,enero,52698.43207078507,Familia P6
2018,enero,4508.948866609675,Familia P7
2018,enero,1740.4790618051165,Familia P8
2018,enero,22855.86184971827,Familia P9
2018,enero,7796.933619008754,Familia PM
2018,enero,2785.7894942335856,Familia SE
2018,febrero,3135804.619517874,Familia EL
2018,febrero,103734.18284872688,Familia MP
2018,febrero,31459.624989596257,Familia P1
2018,febrero,28376.321975229388,Familia P2
2018,febrero,46401.01911947568,Familia P3
2018,febrero,102591.40991116317,Familia P4
2018,febrero,67418.0273131427,Familia P5
2018,febrero,41183.4693206965,Familia P6
2018,febrero,1942.134447802413,Familia P7
2018,febrero,1155.4114174973413,Familia P8
2018,febrero,15945.003297228088,Familia P9
2018,febrero,432,Familia PM
2018,febrero,3705.6675726094036,Familia SE
2018,marzo,2926420.2609524643,Familia EL
2018,marzo,94328.96175504813,Familia MP
2018,marzo,27736.27391898525,Familia P1
2018,marzo,32984.404002548654,Familia P2
2018,marzo,41317.66229580968,Familia P3
2018,marzo,147377.78376095707,Familia P4
2018,marzo,101817.13346750275,Familia P5
2018,marzo,43596.11206796917,Familia P6
2018,marzo,4030.4665385466606,Familia P7
2018,marzo,882.4760858741088,Familia P8
2018,marzo,14046.757526666855,Familia P9
2018,marzo,645.051971970173,Familia PM
2018,marzo,3309.6078301674675,Familia SE
2018,abril,3170249.477032048,Familia EL
2018,abril,143870.0297552904,Familia MP
2018,abril,6150.402891084317,Familia P1
2018,abril,13875.579961187917,Familia P2
2018,abril,9978.55216514611,Familia P3
2018,abril,125999.86371176003,Familia P4
2018,abril,142556.4282856909,Familia P5
2018,abril,69108.74012274119,Familia P6
2018,abril,3103.8701783297483,Familia P7
2018,abril,445.0819529050476,Familia P8
2018,abril,4641.743969194702,Familia P9
2018,abril,17864.059250299862,Familia PM
2018,abril,678.5849662788704,Familia SE
2018,mayo,3789415.0406427043,Familia EL
2018,mayo,197234.4524698455,Familia MP
2018,mayo,17479.435750654622,Familia P1
2018,mayo,20876.8390113692,Familia P2
2018,mayo,19986.00816363783,Familia P3
2018,mayo,161115.55419854945,Familia P4
2018,mayo,178243.77671276752,Familia P5
2018,mayo,62933.621090128385,Familia P6
2018,mayo,21067.674986778475,Familia P7
2018,mayo,1340.068350436371,Familia P8
2018,mayo,6876.962787849152,Familia P9
2018,mayo,10791.637666921564,Familia PP
2018,mayo,3874.0360814044643,Familia SE
2018,junio,3900339.202711683,Familia EL
2018,junio,107635.6170875164,Familia MP
2018,junio,33968.1928963812,Familia P1
2018,junio,35825.769227851975,Familia P2
2018,junio,31061.067584680244,Familia P3
2018,junio,143631.61579347594,Familia P4
2018,junio,84048.02556798937,Familia P5
2018,junio,79362.52055647197,Familia P6
2018,junio,10604.492855356359,Familia P7
2018,junio,1452.187256461596,Familia P8
2018,junio,13804.866030721203,Familia P9
2018,junio,108,Familia PM
2018,junio,2432.084100143619,Familia SE
2018,julio,3105507.7847244577,Familia EL
2018,julio,143673.09191693433,Familia MP
2018,julio,28809.027388703023,Familia P1
2018,julio,26031.31047675639,Familia P2
2018,julio,29151.114918804862,Familia P3
2018,julio,169476.72909636912,Familia P4
2018,julio,96752.95625073308,Familia P5
2018,julio,55629.18696258018,Familia P6
2018,julio,4321.884216417799,Familia P7
2018,julio,121.14831261567946,Familia P8
2018,julio,5953.996085444013,Familia P9
2018,julio,44.67868793382669,Familia PP
2018,julio,6149.5183944520695,Familia SE
2018,agosto,3590712.239401947,Familia EL
2018,agosto,114783.23057456917,Familia MP
2018,agosto,11420.45610380358,Familia P1
2018,agosto,13971.277360848833,Familia P2
2018,agosto,17126.705493637597,Familia P3
2018,agosto,88457.25682753073,Familia P4
2018,agosto,119133.24895508378,Familia P5
2018,agosto,47682.11809558487,Familia P6
2018,agosto,9572.687727304721,Familia P7
2018,agosto,517.0276330531922,Familia P8
2018,agosto,23222.938147489658,Familia P9
2018,agosto,1137.7733748838023,Familia SE
2018,septiembre,2905902.8918320155,Familia EL
2018,septiembre,136969.6881852841,Familia MP
2018,septiembre,55776.813886929755,Familia P1
2018,septiembre,55283.188806682985,Familia P2
2018,septiembre,53064.90374272409,Familia P3
2018,septiembre,99978.75458756057,Familia P4
2018,septiembre,116275.01579203273,Familia P5
2018,septiembre,98014.33906889168,Familia P6
2018,septiembre,19185.856620795515,Familia P7
2018,septiembre,2946.322715481718,Familia P8
2018,septiembre,1186.0478365054444,Familia P9
2018,septiembre,5706.951026693063,Familia PM
2018,septiembre,7867.011494456485,Familia SE
2018,octubre,1432433.9539791772,Familia EL
