"No_";"Posting Date";"Currency Code";"Currency Factor";"Payment Discount _";"Sell-to Customer No_"
"FVV140738";"05-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1556"
"FVV140739";"05-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1314"
"FVV140740";"05-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43088065"
"FVV140741";"05-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43065065"
"FVV140742";"05-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1132"
"FVV140743";"05-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1581"
"FVV140744";"05-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1474"
"FVV140745";"06-05-2014";"USD";"1,35000000000000000000";"0,00000000000000000000";"CLI1508"
"FVV140746";"06-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1388"
"FVV140748";"06-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1616"
"FVV140749";"06-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1598"
"FVV140750";"06-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1523"
"FVV140751";"06-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1561"
"FVV140752";"06-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1365"
"FVV140753";"07-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1108"
"FVV140755";"07-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1314"
"FVV140756";"07-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43060200"
"FVV140757";"07-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1390"
"FVV140758";"07-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1401"
"FVV140759";"07-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1407"
"FVV140760";"07-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1401"
"FVV140761";"08-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43099640"
"FVV140762";"08-05-2014";"USD";"1,35000000000000000000";"0,00000000000000000000";"CLI1508"
"FVV140763";"08-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1432"
"FVV140764";"08-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1042"
"FVV140765";"08-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1566"
"FVV140766";"08-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43065065"
"FVV140767";"08-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1483"
"FVV140768";"08-05-2014";"USD";"1,35000000000000000000";"0,00000000000000000000";"CLI1443"
"FVV140769";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43012120"
"FVV140770";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43030162"
"FVV140771";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1100"
"FVV140772";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43008200"
"FVV140773";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43011020"
"FVV140774";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1577"
"FVV140775";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43036010"
"FVV140776";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43011060"
"FVV140777";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43032020"
"FVV140778";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1324"
"FVV140779";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43033250"
"FVV140780";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1048"
"FVV140781";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1556"
"FVV140782";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43064050"
"FVV140783";"09-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI1149"
"FVV140784";"12-05-2014";;"0,00000000000000000000";"0,00000000000000000000";"CLI43056125"
